id_transacao,data_transacao,id_fornecedor,id_solicitante,id_aprovador,area,categoria_despesa,valor,metodo_pagamento,contrato_id,status
TX000001,2025-12-01,FOR0016,APR018,APR013,Facilities,Materiais e suprimentos,397302.42,Cartão corporativo,CTR0016,Pago
TX000002,2026-05-07,FOR0030,APR008,APR008,TI,Consultoria,43108.04,Transferência,CTR0030,Estornado
TX000003,2025-11-24,FOR0016,APR024,APR018,Compras,Frete e logística,1619.72,Transferência,CTR0016,Estornado
TX000004,2025-11-10,FOR0032,APR005,APR022,Facilities,Manutenção predial,41037.07,Cartão corporativo,CTR0032,Pago
TX000005,2025-12-10,FOR0029,APR001,APR007,TI,Materiais e suprimentos,83209.24,Cartão corporativo,,Pago
TX000006,2025-07-11,FOR0020,APR019,APR006,Marketing,Serviços de TI,116525.21,Boleto,CTR0020,Pago
TX000007,2025-12-22,FOR0036,APR004,APR014,RH,Materiais e suprimentos,2090.69,Pix,CTR0036,Pendente
TX000008,2026-01-19,FOR0010,APR011,APR020,Compras,Manutenção predial,8461.55,Boleto,,Pendente
TX000009,2025-10-18,FOR0019,APR008,APR009,Compras,Brindes e hospitalidade,360.78,Cartão corporativo,CTR0019,Pago
TX000010,2025-08-21,FOR0017,APR001,APR009,Compras,Licenças de software,9030.35,Cartão corporativo,,Pago
TX000011,2025-09-29,FOR0036,APR020,APR002,Jurídico,Consultoria,9058.12,Transferência,CTR0036,Pago
TX000012,2026-05-08,FOR0034,APR011,APR017,Marketing,Utilidades,4081.68,Cartão corporativo,CTR0034,Pendente
TX000013,2025-09-22,FOR0019,APR023,APR017,Marketing,Licenças de software,16596.47,Transferência,CTR0019,Pago
TX000014,2025-09-17,FOR0027,APR017,APR010,Logística,Consultoria,417943.82,Cartão corporativo,CTR0027,Pago
TX000015,2025-07-30,FOR0032,APR021,APR003,TI,Frete e logística,223401.98,Boleto,CTR0032,Pendente
TX000016,2025-10-13,FOR0012,APR014,APR023,TI,Materiais e suprimentos,7943.97,Pix,CTR0012,Estornado
TX000017,2026-03-09,FOR0005,APR021,APR002,Jurídico,Brindes e hospitalidade,954.04,Pix,,Pendente
TX000018,2025-11-10,FOR0013,APR009,APR006,Marketing,Utilidades,35995.37,Boleto,CTR0013,Pago
TX000019,2026-01-19,FOR0005,APR015,APR009,Compras,Frete e logística,1575.25,Transferência,,Pago
TX000020,2025-12-22,FOR0036,APR001,APR007,TI,Materiais e suprimentos,35451.76,Pix,CTR0036,Pago
TX000021,2025-09-15,FOR0028,APR013,APR018,Compras,Brindes e hospitalidade,2747.03,Transferência,CTR0028,Pendente
TX000022,2025-10-09,FOR0003,APR011,APR013,Facilities,Manutenção predial,183556.12,Pix,CTR0003,Pago
TX000023,2025-07-14,FOR0017,APR022,APR009,Compras,Brindes e hospitalidade,401.96,Boleto,,Estornado
TX000024,2025-09-16,FOR0023,APR013,APR001,TI,Treinamento,21926.53,Transferência,CTR0023,Estornado
TX000025,2025-10-04,FOR0005,APR023,APR025,Logística,Marketing e eventos,41861.18,Boleto,,Pago
TX000026,2026-03-23,FOR0032,APR004,APR004,Logística,Serviços de TI,5293.39,Cartão corporativo,CTR0032,Pago
TX000027,2025-09-22,FOR0005,APR015,APR001,TI,Consultoria,38291.83,Cartão corporativo,,Estornado
TX000028,2025-11-12,FOR0023,APR003,APR020,Compras,Treinamento,157308.37,Pix,CTR0023,Pago
TX000029,2025-11-13,FOR0001,APR011,APR019,Compras,Consultoria,10545.39,Cartão corporativo,CTR0001,Pago
TX000030,2026-06-22,FOR0003,APR022,APR018,Compras,Viagens corporativas,7023.48,Transferência,CTR0003,Pendente
TX000031,2026-03-31,FOR0014,APR025,APR010,Logística,Consultoria,497829.74,Cartão corporativo,CTR0014,Pago
TX000032,2026-02-25,FOR0011,APR025,APR010,Logística,Licenças de software,641147.2,Cartão corporativo,CTR0011,Pago
TX000033,2025-07-21,FOR0016,APR004,APR004,Logística,Materiais e suprimentos,1339.25,Boleto,CTR0016,Pago
TX000034,2025-07-28,FOR0001,APR004,APR021,Operações,Brindes e hospitalidade,312.28,Transferência,CTR0001,Pago
TX000035,2025-10-16,FOR0036,APR021,APR005,Facilities,Frete e logística,107922.15,Pix,CTR0036,Pago
TX000036,2026-05-11,FOR0017,APR007,APR010,Logística,Materiais e suprimentos,686080.37,Boleto,,Pago
TX000037,2026-06-17,FOR0001,APR011,APR008,TI,Treinamento,2468.79,Boleto,CTR0001,Pago
TX000038,2025-09-06,FOR0032,APR010,APR009,Compras,Frete e logística,5101.06,Cartão corporativo,CTR0032,Pago
TX000039,2026-04-25,FOR0014,APR003,APR020,Compras,Brindes e hospitalidade,540.43,Cartão corporativo,CTR0014,Pago
TX000040,2026-04-18,FOR0032,APR009,APR020,Compras,Treinamento,7734.18,Pix,CTR0032,Pago
TX000041,2026-01-19,FOR0007,APR012,APR017,Marketing,Viagens corporativas,4625.53,Boleto,,Pago
TX000042,2026-01-15,FOR0032,APR004,APR011,Operações,Licenças de software,11776.87,Transferência,CTR0032,Pendente
TX000043,2025-10-06,FOR0002,APR002,APR022,Facilities,Consultoria,23432.19,Cartão corporativo,CTR0002,Pago
TX000044,2026-04-01,FOR0001,APR001,APR015,Operações,Treinamento,6588.05,Transferência,CTR0001,Pago
TX000045,2025-10-27,FOR0008,APR017,APR015,Operações,Marketing e eventos,2660.82,Boleto,CTR0008,Pago
TX000046,2025-11-14,FOR0005,APR001,APR020,Compras,Viagens corporativas,145789.13,Pix,,Pendente
TX000047,2025-10-23,FOR0015,APR024,APR005,Facilities,Licenças de software,42978.35,Pix,CTR0015,Pago
TX000048,2025-08-26,FOR0039,APR003,APR002,Jurídico,Utilidades,6068.17,Transferência,CTR0039,Pago
TX000049,2026-02-18,FOR0010,APR003,APR015,Operações,,23128.53,Pix,,Pago
TX000050,2026-03-28,FOR0007,APR016,APR021,Operações,Licenças de software,3049.95,Cartão corporativo,,Pago
TX000051,2025-12-08,FOR0006,APR002,APR008,TI,Serviços de TI,32230.05,Cartão corporativo,CTR0006,Pago
TX000052,2026-06-08,FOR0036,APR021,APR014,RH,Manutenção predial,910.72,Boleto,CTR0036,Pendente
TX000053,2025-11-24,FOR0013,APR020,APR008,TI,Brindes e hospitalidade,3264.48,Cartão corporativo,CTR0013,Pago
TX000054,2025-11-22,FOR0019,APR024,APR015,Operações,Serviços de TI,5347.3,Pix,CTR0019,Pendente
TX000055,2026-05-14,FOR0001,APR008,APR009,Compras,Brindes e hospitalidade,291.71,Boleto,CTR0001,Pago
TX000056,2025-09-22,FOR0001,APR014,APR021,Operações,Brindes e hospitalidade,5557.18,Cartão corporativo,CTR0001,Pendente
TX000057,2025-09-03,FOR0009,APR003,APR017,Marketing,Brindes e hospitalidade,819.89,Pix,CTR0009,Pago
TX000058,2026-01-05,FOR0004,APR020,APR018,Compras,Serviços de TI,6255.46,Transferência,,Estornado
TX000059,2025-11-24,FOR0025,APR024,APR022,Facilities,Treinamento,3844.77,Transferência,CTR0025,Pago
TX000060,2026-06-15,FOR0006,APR025,APR002,Jurídico,Licenças de software,17077.83,Boleto,CTR0006,Pago
TX000061,2025-12-27,FOR0031,APR008,APR014,RH,Marketing e eventos,15872.68,Cartão corporativo,,Pago
TX000062,2025-12-10,FOR0006,APR002,APR002,Jurídico,Brindes e hospitalidade,973.41,Boleto,CTR0006,Pago
TX000063,2025-11-11,FOR0027,APR001,APR003,TI,Frete e logística,30559.75,Boleto,CTR0027,Pago
TX000064,2025-07-01,FOR0032,APR011,APR018,Compras,Manutenção predial,21954.78,Pix,CTR0032,Pago
TX000065,2025-07-15,FOR0016,APR021,APR017,Marketing,Consultoria,1181.49,Cartão corporativo,CTR0016,Pendente
TX000066,2025-08-04,FOR0023,APR003,APR015,Operações,Viagens corporativas,4612.42,Boleto,CTR0023,Pago
TX000067,2026-06-20,FOR0033,APR004,APR009,Compras,Treinamento,4283.44,Boleto,CTR0033,Pago
TX000068,2025-10-31,FOR0015,APR023,APR014,RH,Viagens corporativas,1055.77,Pix,CTR0015,Pago
TX000069,2026-04-20,FOR0001,APR002,APR003,TI,Serviços de TI,71076.43,Transferência,CTR0001,Pago
TX000070,2026-03-09,FOR0036,APR020,APR014,RH,Materiais e suprimentos,5603.69,Boleto,CTR0036,Pago
TX000071,2026-05-04,FOR0006,APR021,APR004,Logística,Treinamento,4062.01,Cartão corporativo,CTR0006,Pago
TX000072,2025-07-28,FOR0014,APR014,APR001,TI,Consultoria,115565.05,Transferência,CTR0014,Pago
TX000073,2026-04-25,FOR0020,APR020,APR003,TI,Manutenção predial,133887.27,Boleto,CTR0020,Pago
TX000074,2025-08-20,FOR0013,APR017,APR025,Logística,Viagens corporativas,20891.99,Pix,CTR0013,Pago
TX000075,2025-10-31,FOR0019,APR005,APR017,Marketing,Materiais e suprimentos,14870.58,Pix,CTR0019,Pago
TX000076,2025-07-14,FOR0025,APR013,APR024,TI,Licenças de software,124248.67,Transferência,CTR0025,Pago
TX000077,2026-02-13,FOR0033,APR021,APR011,Operações,Marketing e eventos,10802.42,Transferência,CTR0033,Pendente
TX000078,2025-09-20,FOR0027,APR011,APR014,RH,Serviços de TI,2992.47,Boleto,CTR0027,Pago
TX000079,2025-09-09,FOR0040,APR020,APR025,Logística,Manutenção predial,7589.99,Boleto,CTR0040,Pago
TX000080,2025-12-01,FOR0027,APR021,APR025,Logística,Brindes e hospitalidade,987.61,Pix,CTR0027,Pago
TX000081,2025-11-16,FOR0002,APR021,APR021,Operações,Serviços de TI,4267.22,Transferência,CTR0002,Pendente
TX000082,2026-04-28,FOR0027,APR011,APR020,Compras,Materiais e suprimentos,149766.87,Transferência,CTR0027,Pago
TX000083,2026-02-02,FOR0036,APR016,APR015,Operações,Serviços de TI,1753.03,Cartão corporativo,CTR0036,Pago
TX000084,2025-08-11,FOR0036,APR011,APR012,RH,Treinamento,98239.28,Cartão corporativo,CTR0036,Pago
TX000085,2026-05-25,FOR0031,APR010,APR024,TI,Consultoria,402447.51,Transferência,,Pago
TX000086,2025-08-11,FOR0015,APR018,APR010,Logística,Utilidades,872397.76,Cartão corporativo,CTR0015,Pago
TX000087,2026-03-26,FOR0011,APR018,APR001,TI,Brindes e hospitalidade,2549.38,Transferência,CTR0011,Pendente
TX000088,2026-02-07,FOR0008,APR006,APR022,Facilities,Manutenção predial,38410.53,Boleto,CTR0008,Pago
TX000089,2025-12-29,FOR0039,APR007,APR015,Operações,Licenças de software,8890.37,Pix,CTR0039,Pago
TX000090,2025-07-21,FOR0024,APR009,APR015,Operações,Manutenção predial,7411.33,Transferência,CTR0024,Pendente
TX000091,2025-08-08,FOR0017,APR014,APR023,TI,Manutenção predial,8347.76,Pix,,Pago
TX000092,2025-08-12,FOR0019,APR011,APR012,RH,Frete e logística,4672.24,Boleto,CTR0019,Pago
TX000093,2025-07-02,FOR0010,APR003,APR005,Facilities,Manutenção predial,22109.96,Pix,,Pendente
TX000094,2026-03-05,FOR0006,APR005,APR004,Logística,,7345.09,Boleto,CTR0006,Pago
TX000095,2025-08-05,FOR0036,APR022,APR023,TI,,5335.97,Transferência,CTR0036,Pago
TX000096,2025-10-24,FOR0019,APR013,APR013,Facilities,Marketing e eventos,341384.49,Cartão corporativo,CTR0019,Pago
TX000097,2026-02-23,FOR0036,APR024,APR005,Facilities,Utilidades,36061.42,Transferência,CTR0036,Pendente
TX000098,2026-03-30,FOR0014,APR013,APR023,TI,Frete e logística,3040.36,Boleto,CTR0014,Pago
TX000099,2026-01-06,FOR0035,APR016,APR010,Logística,Serviços de TI,413256.24,Pix,,Pago
TX000100,2025-11-20,FOR0039,APR019,APR012,RH,Viagens corporativas,96177.86,Cartão corporativo,CTR0039,Pago
TX000101,2026-02-02,FOR0009,APR021,APR010,Logística,Consultoria,674132.96,Transferência,CTR0009,Estornado
TX000102,2026-02-07,FOR0024,APR023,APR003,TI,Utilidades,9605.31,Cartão corporativo,CTR0024,Pago
TX000103,2025-12-01,FOR0028,APR014,APR012,RH,Brindes e hospitalidade,608.01,Transferência,CTR0028,Pago
TX000104,2025-11-17,FOR0019,APR021,APR001,TI,Serviços de TI,12713.04,Boleto,CTR0019,Estornado
TX000105,2025-07-28,FOR0016,APR024,APR004,Logística,Brindes e hospitalidade,987.65,Cartão corporativo,CTR0016,Pago
TX000106,2025-10-22,FOR0035,APR005,APR006,Marketing,Consultoria,6461.31,Cartão corporativo,,Pago
TX000107,2026-01-19,FOR0028,APR018,APR015,Operações,Serviços de TI,9196.36,Transferência,CTR0028,Pendente
TX000108,2026-04-20,FOR0022,APR022,APR005,Facilities,Licenças de software,40508.21,Pix,CTR0022,Estornado
TX000109,2026-03-16,FOR0006,APR012,APR017,Marketing,Marketing e eventos,3103.95,Cartão corporativo,CTR0006,Pendente
TX000110,2025-09-09,FOR0008,APR020,APR007,TI,Treinamento,23615.79,Cartão corporativo,CTR0008,Pago
TX000111,2026-01-22,FOR0001,APR020,APR019,Compras,Utilidades,12909.52,Cartão corporativo,CTR0001,Pago
TX000112,2026-02-03,FOR0039,APR021,APR021,Operações,Viagens corporativas,856.76,Cartão corporativo,CTR0039,Pago
TX000113,2025-08-18,FOR0036,APR018,APR020,Compras,Consultoria,27537.91,Cartão corporativo,CTR0036,Pago
TX000114,2026-04-14,FOR0014,APR011,APR015,Operações,Treinamento,8864.17,Boleto,CTR0014,Pago
TX000115,2026-04-17,FOR0014,APR007,APR016,Operações,Serviços de TI,4749.0,Pix,CTR0014,Pago
TX000116,2025-12-29,FOR0023,APR025,APR020,Compras,Materiais e suprimentos,81567.0,Pix,CTR0023,Pago
TX000117,2026-06-08,FOR0025,APR021,APR002,Jurídico,Viagens corporativas,7079.64,Transferência,CTR0025,Pago
TX000118,2025-07-14,FOR0029,APR002,APR013,Facilities,Manutenção predial,478210.26,Pix,,Pago
TX000119,2026-04-22,FOR0024,APR010,APR017,Marketing,Treinamento,3736.59,Pix,CTR0024,Pendente
TX000120,2026-06-10,FOR0001,APR025,APR023,TI,Utilidades,16539.83,Cartão corporativo,CTR0001,Pago
TX000121,2026-01-05,FOR0027,APR020,APR021,Operações,Materiais e suprimentos,1734.61,Transferência,CTR0027,Pago
TX000122,2026-02-19,FOR0001,APR021,APR019,Compras,Viagens corporativas,32072.51,Transferência,CTR0001,Pago
TX000123,2026-03-23,FOR0016,APR015,APR023,TI,Utilidades,3591.42,Cartão corporativo,CTR0016,Pago
TX000124,2025-10-07,FOR0017,APR024,APR020,Compras,Frete e logística,180806.85,Pix,,Pago
TX000125,2025-12-16,FOR0037,APR014,APR012,RH,Serviços de TI,25443.59,Cartão corporativo,,Pendente
TX000126,2025-11-10,FOR0016,APR019,APR002,Jurídico,Utilidades,4511.71,Boleto,CTR0016,Pago
TX000127,2026-02-21,FOR0012,APR012,APR004,Logística,Licenças de software,2295.53,Transferência,CTR0012,Pago
TX000128,2026-05-22,FOR0030,APR003,APR018,Compras,Brindes e hospitalidade,375.47,Transferência,CTR0030,Pago
TX000129,2025-07-12,FOR0004,APR011,APR006,Marketing,Viagens corporativas,9384.02,Transferência,,Pago
TX000130,2025-12-09,FOR0029,APR004,APR011,Operações,Manutenção predial,4412.19,Cartão corporativo,,Pago
TX000131,2026-01-27,FOR0039,APR013,APR023,TI,Utilidades,1779.45,Transferência,CTR0039,Pago
TX000132,2025-11-24,FOR0012,APR012,APR006,Marketing,,21103.1,Cartão corporativo,CTR0012,Pago
TX000133,2025-12-01,FOR0032,APR024,APR021,Operações,Marketing e eventos,6374.66,Cartão corporativo,CTR0032,Pago
TX000134,2026-05-29,FOR0008,APR019,APR012,RH,Brindes e hospitalidade,3791.25,Transferência,CTR0008,Pago
TX000135,2026-03-24,FOR0003,APR020,APR017,Marketing,Serviços de TI,18440.91,Pix,CTR0003,Pago
TX000136,2026-02-11,FOR0023,APR015,APR004,Logística,Licenças de software,700.72,Cartão corporativo,CTR0023,Pago
TX000137,2026-03-27,FOR0007,APR003,APR024,TI,Frete e logística,12152.16,Transferência,,Estornado
TX000138,2025-12-31,FOR0010,APR014,APR016,Operações,Manutenção predial,9005.0,Pix,,Pago
TX000139,2025-10-15,FOR0036,APR005,APR013,Facilities,Consultoria,2489627.83,Cartão corporativo,CTR0036,Pago
TX000140,2025-08-23,FOR0025,APR025,APR015,Operações,Frete e logística,3315.44,Transferência,CTR0025,Pago
TX000141,2026-02-02,FOR0002,APR014,APR008,TI,Utilidades,3190.43,Transferência,CTR0002,Pago
TX000142,2025-10-22,FOR0040,APR012,APR005,Facilities,Treinamento,27906.3,Boleto,CTR0040,Pago
TX000143,2026-05-18,FOR0027,APR012,APR014,RH,Manutenção predial,4044.81,Cartão corporativo,CTR0027,Pendente
TX000144,2025-09-04,FOR0019,APR024,APR023,TI,Licenças de software,7844.07,Pix,CTR0019,Pendente
TX000145,2026-03-24,FOR0012,APR003,APR014,RH,Consultoria,8500.03,Cartão corporativo,CTR0012,Pago
TX000146,2025-11-25,FOR0003,APR011,APR013,Facilities,Treinamento,522965.43,Boleto,CTR0003,Pago
TX000147,2025-11-14,FOR0036,APR011,APR024,TI,Treinamento,75393.77,Cartão corporativo,CTR0036,Pago
TX000148,2025-10-14,FOR0023,APR010,APR010,Logística,Brindes e hospitalidade,2633.32,Pix,CTR0023,Pago
TX000149,2026-03-02,FOR0019,APR009,APR010,Logística,Frete e logística,609147.17,Pix,CTR0019,Pago
TX000150,2025-07-23,FOR0007,APR022,APR015,Operações,Licenças de software,8452.09,Transferência,,Pendente
TX000151,2026-03-09,FOR0001,APR022,APR022,Facilities,Utilidades,32822.63,Pix,CTR0001,Pago
TX000152,2026-03-09,FOR0025,APR001,APR022,Facilities,Materiais e suprimentos,13363.33,Boleto,CTR0025,Pago
TX000153,2025-12-31,FOR0012,APR003,APR004,Logística,Licenças de software,3389.97,Boleto,CTR0012,Pago
TX000154,2026-02-21,FOR0003,APR018,APR023,TI,Utilidades,1041.5,Boleto,CTR0003,Pago
TX000155,2026-04-09,FOR0039,APR024,APR003,TI,Serviços de TI,169447.4,Transferência,CTR0039,Pago
TX000156,2025-09-04,FOR0031,APR019,APR022,Facilities,Manutenção predial,15151.81,Pix,,Pago
TX000157,2025-09-02,FOR0027,APR025,APR003,TI,Viagens corporativas,101301.24,Transferência,CTR0027,Pago
TX000158,2025-12-07,FOR0006,APR013,APR017,Marketing,Serviços de TI,7121.05,Pix,CTR0006,Pago
TX000159,2025-10-27,FOR0019,APR010,APR016,Operações,Utilidades,3620.65,Boleto,CTR0019,Pago
TX000160,2025-11-08,FOR0034,APR012,APR013,Facilities,Consultoria,1057533.07,Pix,CTR0034,Pago
TX000161,2026-01-10,FOR0006,APR011,APR015,Operações,,1037.58,Transferência,CTR0006,Pago
TX000162,2026-03-02,FOR0010,APR009,APR024,TI,Manutenção predial,34510.31,Cartão corporativo,,Pago
TX000163,2025-08-18,FOR0018,APR016,APR014,RH,Frete e logística,4662.22,Pix,,Pago
TX000164,2025-11-24,FOR0015,APR005,APR011,Operações,Viagens corporativas,7935.58,Boleto,CTR0015,Estornado
TX000165,2025-11-13,FOR0018,APR013,APR016,Operações,Utilidades,5382.91,Transferência,,Pago
TX000166,2026-02-02,FOR0007,APR007,APR019,Compras,Licenças de software,105222.97,Transferência,,Pendente
TX000167,2026-04-27,FOR0014,APR016,APR014,RH,Utilidades,4008.15,Pix,CTR0014,Pago
TX000168,2026-05-25,FOR0007,APR008,APR018,Compras,Licenças de software,8429.61,Transferência,,Pago
TX000169,2025-11-03,FOR0019,APR019,APR019,Compras,Consultoria,20370.5,Boleto,CTR0019,Pago
TX000170,2026-01-21,FOR0032,APR010,APR015,Operações,Licenças de software,9179.32,Boleto,CTR0032,Pago
TX000171,2025-07-28,FOR0011,APR011,APR012,RH,Consultoria,20717.47,Transferência,CTR0011,Pendente
TX000172,2026-02-16,FOR0032,APR015,APR001,TI,Frete e logística,25835.96,Boleto,CTR0032,Pago
TX000173,2025-10-10,FOR0001,APR006,APR006,Marketing,Frete e logística,20329.88,Transferência,CTR0001,Pago
TX000174,2026-05-18,FOR0016,APR017,APR019,Compras,Frete e logística,12805.9,Pix,CTR0016,Pago
TX000175,2026-04-25,FOR0036,APR021,APR019,Compras,Treinamento,31311.5,Transferência,CTR0036,Pago
TX000176,2026-02-27,FOR0033,APR006,APR008,TI,Viagens corporativas,7204.03,Boleto,CTR0033,Pago
TX000177,2026-04-06,FOR0009,APR013,APR018,Compras,Brindes e hospitalidade,525.84,Pix,CTR0009,Pago
TX000178,2025-10-16,FOR0009,APR014,APR014,RH,Materiais e suprimentos,2184.77,Pix,CTR0009,Pago
TX000179,2026-03-27,FOR0025,APR012,APR019,Compras,Treinamento,108695.69,Pix,CTR0025,Pago
TX000180,2025-08-06,FOR0034,APR012,APR018,Compras,Frete e logística,9193.81,Boleto,CTR0034,Estornado
TX000181,2025-10-06,FOR0016,APR008,APR007,TI,Treinamento,8469.17,Cartão corporativo,CTR0016,Pago
TX000182,2025-08-11,FOR0033,APR023,APR020,Compras,Treinamento,158443.03,Pix,CTR0033,Pago
TX000183,2026-01-12,FOR0007,APR023,APR002,Jurídico,Manutenção predial,6602.55,Cartão corporativo,,Pago
TX000184,2026-02-10,FOR0030,APR012,APR021,Operações,Serviços de TI,6948.22,Transferência,CTR0030,Pago
TX000185,2025-10-09,FOR0022,APR014,APR025,Logística,Consultoria,36805.51,Cartão corporativo,CTR0022,Pago
TX000186,2025-07-01,FOR0023,APR016,APR011,Operações,Utilidades,613.49,Pix,CTR0023,Pendente
TX000187,2025-08-11,FOR0010,APR009,APR015,Operações,Manutenção predial,2916.79,Cartão corporativo,,Pago
TX000188,2026-02-22,FOR0019,APR007,APR022,Facilities,Frete e logística,5103.96,Pix,CTR0019,Pago
TX000189,2025-08-16,FOR0007,APR004,APR001,TI,Viagens corporativas,22496.51,Cartão corporativo,,Pago
TX000190,2026-05-21,FOR0007,APR005,APR005,Facilities,Utilidades,90961.85,Boleto,,Pago
TX000191,2026-01-05,FOR0031,APR019,APR021,Operações,Frete e logística,11956.74,Boleto,,Pago
TX000192,2026-05-26,FOR0025,APR008,APR008,TI,Treinamento,43357.57,Boleto,CTR0025,Pago
TX000193,2025-07-29,FOR0039,APR020,APR024,TI,Frete e logística,24293.86,Cartão corporativo,CTR0039,Estornado
TX000194,2025-07-01,FOR0036,APR003,APR011,Operações,Utilidades,4439.13,Boleto,CTR0036,Pago
TX000195,2025-08-04,FOR0021,APR014,APR002,Jurídico,Utilidades,7103.99,Boleto,,Pago
TX000196,2026-05-13,FOR0001,APR020,APR009,Compras,Frete e logística,1598.39,Transferência,CTR0001,Pago
TX000197,2025-11-28,FOR0012,APR002,APR010,Logística,Serviços de TI,124387.92,Boleto,CTR0012,Pago
TX000198,2025-11-03,FOR0003,APR025,APR004,Logística,Manutenção predial,3320.35,Cartão corporativo,CTR0003,Pago
TX000199,2026-05-10,FOR0001,APR019,APR024,TI,Viagens corporativas,15496.96,Cartão corporativo,CTR0001,Pago
TX000200,2026-03-14,FOR0016,APR025,APR002,Jurídico,Serviços de TI,6267.08,Transferência,CTR0016,Pendente
